기업,사업연도,대사,본문무형자산,단위,배치,주석기말,합산표시,손상액,상각액
하이브,2021,실패,1330038427000.0,,,,,,
하이브,2022,실패,1470169884000.0,,,,,,
하이브,2023,실패,2165250407000.0,,,,,,
하이브,2024,실패,2244256804000.0,,,,,,
하이브,2025,실패,1986685747000.0,,,,,,
에스엠,2021,성공,144813615831.0,1000.0,A,144813616000.0,False,10506961000.0,174959850000.0
에스엠,2022,성공,145107007512.0,1000.0,A,145107008000.0,False,221066000.0,183729158000.0
에스엠,2023,성공,203862069622.0,1000.0,A,203862070000.0,False,58704825000.0,194813220000.0
에스엠,2024,실패,140213032950.0,,,,,,
에스엠,2025,성공,601394560770.0,1000.0,A,601394560000.0,False,0.0,184416197000.0
와이지엔터테인먼트,2021,성공,44469186264.0,1.0,B,44469186264.0,False,0.0,1355411584.0
와이지엔터테인먼트,2022,성공,10853636441.0,1.0,B,10853636441.0,False,0.0,1216707246.0
와이지엔터테인먼트,2023,성공,47082657725.0,1.0,B,47082657725.0,False,0.0,6327758964.0
와이지엔터테인먼트,2024,성공,47382577696.0,1.0,B,47382577696.0,False,0.0,15423744925.0
와이지엔터테인먼트,2025,실패,34692548888.0,,,,,,
JYP Ent.,2021,실패,29545607468.0,,,,,,
JYP Ent.,2022,실패,41506863178.0,,,,,,
JYP Ent.,2023,실패,40648348163.0,,,,,,
JYP Ent.,2024,성공,60223870978.0,1000.0,B,60223871000.0,False,0.0,5701915000.0
JYP Ent.,2025,성공,66897868484.0,1000.0,B,66897868000.0,False,0.0,10111109000.0
스튜디오드래곤,2021,성공,298028251868.0,1000.0,A,298028252000.0,True,,99149629000.0
스튜디오드래곤,2022,성공,377835439955.0,1000.0,A,377835440000.0,True,,158945504000.0
스튜디오드래곤,2023,성공,358885372768.0,1000.0,A,358885373000.0,True,,197469701000.0
스튜디오드래곤,2024,성공,204856594091.0,1000.0,A,204856594000.0,True,,161544419000.0
스튜디오드래곤,2025,성공,228995860812.0,1000.0,A,228995861000.0,False,18822098000.0,131348912000.0
콘텐트리중앙,2021,성공,521961782014.0,1000.0,A,521961781000.0,False,55946695000.0,103510983000.0
콘텐트리중앙,2022,성공,657518584745.0,1000.0,A,657518585000.0,False,109069774000.0,118947932000.0
콘텐트리중앙,2023,성공,592562639289.0,1000.0,A,592562639000.0,False,78205279000.0,107191191000.0
콘텐트리중앙,2024,성공,700721668283.0,1000.0,A,700721667000.0,False,14157305000.0,123928356000.0
콘텐트리중앙,2025,성공,533822076306.0,1000.0,A,533822076000.0,False,6042266000.0,146161781000.0
에이스토리,2021,실패,43302365.0,,,,,,
에이스토리,2022,성공,26113643.0,1.0,A,26113643.0,False,14678655.0,5343585.0
에이스토리,2023,실패,20579039.0,,,,,,
에이스토리,2024,실패,269731666.0,,,,,,
에이스토리,2025,실패,477735055.0,,,,,,
쇼박스,2021,성공,2317087392.0,1000.0,B,2317087000.0,False,0.0,19268441000.0
쇼박스,2022,성공,4823689789.0,1000.0,B,4823690000.0,False,1264000.0,42243536000.0
쇼박스,2023,성공,10603149876.0,1000.0,B,10603150000.0,False,5938622000.0,45820571000.0
쇼박스,2024,성공,1090710509.0,1000.0,B,1090711000.0,False,1412928000.0,30877229000.0
쇼박스,2025,성공,1805975859.0,1000.0,B,1805976000.0,False,4222908000.0,20525318000.0
디앤씨미디어,2021,실패,21144291517.0,,,,,,
디앤씨미디어,2022,실패,21697695755.0,,,,,,
디앤씨미디어,2023,성공,20681047354.0,1000.0,A,20681047000.0,False,0.0,1421281000.0
디앤씨미디어,2024,성공,25073798964.0,1000.0,A,25073801000.0,False,0.0,1773007000.0
디앤씨미디어,2025,성공,18600617456.0,1000.0,A,18600618000.0,False,5477953000.0,1613881000.0
키다리스튜디오,2021,실패,174476804889.0,,,,,,
키다리스튜디오,2022,성공,172824187317.0,1000.0,B,172824184000.0,False,5228667000.0,13099365000.0
키다리스튜디오,2023,실패,148597961533.0,,,,,,
키다리스튜디오,2024,실패,146525087987.0,,,,,,
키다리스튜디오,2025,실패,150053232875.0,,,,,,
